SENTENCE,FOS CODE
           স্টুয়ার্ড্‌ হোথায় জুগিয়ে বেড়ায় বরফী শর্বৎ।,0
তোমার দৃষ্টি যেন দূরের পাহাড়ের কুয়াশা।,1
মাটিও আশ্চর্য সত্য।,2
– গাড়োয়ান তো বুদ্ধিহত খ্যাপার মতো ছুটোছুটি করছে থতমত!,1
                            হোথায় রান্নাঘর ;                         রাঁধুনেরা সার বেঁধেছে পৃথুল-কলেবর।,0
তোমার প্রেম যেন ধরা দেয় মেঘের ছায়ার মতো।,1
"                   এ তো সহজ কথা,                             অঘ্রানে এই স্তব্ধ নীরবতা                        জড়িয়ে আছে সামনে আমার                                         আমের গাছে ;                             কিন্তু ওটাই সবার চেয়ে                                          দুর্গম মোর কাছে।",2
                            ক্রমে ক্রমে                            অতীতের দিনগুলি                 মুছে ফেলে অস্তিত্বের অধিকার।,2
"               আজ সকালে শোনা গেল চৌকিদারের মুখে,                     যৌবন তার দ ” লে গেছে, জীবন গেছে চুকে।",2
                  বিকেলবেলার চিকন আলোর আভাস লেগে                     ঘোলা রঙের আলস ভেঙে উঠি জেগে।,2
হৃদয়ের দ্বারে দ্বারে ভ্রমি মোরা সারা নিশি  প্রাণে প্রাণে খেলাইয়া প্রভাতে যাইব মিশি।,2
                           গাছে চড়তে ছিল কড়া নিষেধ।,0
"পৃথিবীর ওই অধীরতা থেমে যায়— আমাদের হৃদয়ের ব্যথা দূরের ধুলোর পথ ছেড়ে স্বপ্নেরে— ধ্যানেরে কাছে ডেকে লয়; উজ্জ্বল আলোর দিন নিভে যায়, মানুষেরো আয়ু শেষ হয়।",3
                     অবশেষে খুশির দুয়ার হঠাৎ যাবে খুলে                                   মুকুলে মুকুলে।,2
তোমার সুর যেন গাছের পাতায় পাতায় মর্মরধ্বনি।,1
"                                  তরঙ্গিত গতিমত্ত সেই জল                               কলোল্লোলে উদ্‌বেল উচ্ছল                          শৃঙ্খলিত ছিল স্তব্ধ পুকুরে আমার,                    নৃত্যহীন ঔদাসীন্যে অর্থহীন শূন্যদৃষ্টি তার।",2
"           প্রত্যেকেরই রিজার্ভ করা কোটর ক্ষুদ্র ক্ষুদ্র ;                   দরজাটা খোলা হলেই সম্মুখে সমুদ্র                         মুক্ত চোখের”পরে                                    সমান সবার তরে,                              তবুও সে একান্ত অজানা,                         তরঙ্গতর্জনী-তোলা অলঙ্ঘ্য তার মানা।",0
"                          হাওয়া দিলেই ছুটে যেতুম বাগানে,                         দৈবে যদি পাওয়া যেত একটিমাত্র ফল                            একটুখানি দুর্লভতার আড়াল থেকে,                         দেখতুম, সে কী শ্যামল, কী নিটোল, কী সুন্দর,                            প্রকৃতির সে কী আশ্চর্য দান।",2
﻿হয়তো অনেক এগিয়ে তা’রা দেখে গেছে মানুষের পরম আয়ুর পারে শেষ জলের রঙের মতো স্বচ্ছ রোদে একটিও বোল্‌তার নেই অবলেশ।,1
                                  টেবিলের ধারে তাই                       চোখ-বোজা অভ্যাসের পথ দিয়ে যাই।,2
"      অরণ্যের প্রান্তভাগে নদী এক চলিয়াছে            বাঁকিয়া বাঁকিয়া —  স্তব্ধ জল, শব্দ নাই, ফণী-সম ফুঁসি উঠে            থাকিয়া থাকিয়া।",3
তোমার কণ্ঠস্বর বসন্তের প্রথম কোকিলের ডাক।,1
"                       হঠাৎ দেখি, বুকে বাজে টন্‌টনানি                     পাঁজরগুলোর তলায় তলায় ব্যথা হানি।",2
তোমার মুখ যেন পূর্ণিমার আলো।,1
আজকে অনেক রূঢ় রৌদ্রে ঘুরে প্রাণ পৃথিবীর মানুষকে মানুষের মতো ভালোবাসা দিতে গিয়ে তবু দেখেছি আমারি হাতে হয়তো নিহত ভাই বোন বন্ধু পরিজন প’ড়ে আছে; পৃথিবীর গভীর গভীরতর অসুখ এখন; মানুষ তবুও ঋণী পৃথিবীরই কাছে।,1
                                     এইটুকু ঘর।,0
                                   বয়স বেড়ে গেল।,0
          জীবনের দেওয়া - নেওয়া সেই            ঘুচিল অন্তিম নিমেষেই—  স্নেহোজ্জ্বল কল্যাণের সে সম্বন্ধ তোমার আমার  গানের নির্মাল্য - সাথে নিয়ে গেলে মরণের পার।,2
"           খানিক যেতেই পথ হারালুম, গলির আঁকেবাঁকে                               কোথায় ওরা কোন্‌ অফিসার থাকে।",0
