ID,SENTENCE,FOS CODE,SL. No. Figure of Speech Class Label
MMD1,"নাচিছে কদম্ব মূলে, বাজায়ে মুরলী, রে, রাধিকা রমণ!",0,1 None 0
MMD2,"চল, সখি, ত্বরা করি, দেখিগে প্রাণের হরি, ব্রজের রতন!",6,2 Simile (উপমা) 1
MMD3,"চাতকী আমি স্বজনি, শুনি জলধর-ধ্বনি, কেমনে ধৈরজ ধরি থাকিলে এখন্?","11, 6",3 Metaphor (র‍ূপক) 2
MMD4,"যাক্ মান, যাক্ কুল, মন তরী পাবে কূল; চল, ভাসি প্রেমনীরে, ভেবে ও চরণ!",0,4 Personification (মানবীকরণ) 3
MMD5,"মানস-সরসে, সখি, ভাসিছে মরাল, রে কমল কাননে!",6,5 Onomatopoeia (অনুকরণçিন) 4
MMD6,"কমলিনী কোন্ ছলে, থাকিবে ডুবিয়া জলে, বঞ্চিয়া রমণে?",6,6 Hyperbole (অিতশেয়ািÿ) 5
MMD7,"যে যাহারে ভাল বাসে, সে যাইবে তার পাশে— মদন রাজার বিধি লঙ্ঘিব কেমনে?",6,7 Alliteration (অনুÀাস) 6
MMD8,"যদি অবহেলা করি, রুষিবে শম্বর অরি; কে সম্বরে স্মর-শরে এ তিন ভুবনে।",6,"8 Oxymoron and Antithesis, Epi-"
MMD9,"ওই শুন, পুনঃ বাজে মজাইয়া মন, রে, মুরারির বাঁশী!","6, 3",gram (িবেরাধাভাস) 7
MMD10,সুমন্দ মলয় আনে ও নিনাদ মোর কানে— আমি শ্যাম-দাসী।,"6, 3",9 Irony (িবǂপ) 8
MMD11,"জলদ গরজে যবে, ময়ূরী নাচে সে রবে;— আমি কেন না কাটিব শরমের ফাঁসি?",6,10 Euphemism / Pun (েƅষ and যমক) 9
MMD12,"সৌদামিনী ঘন সনে, ভ্রমে সদানন্দ মনে;— রধিকা কেন ত্যজিবে রাধিকাবিলাসী?",0,11 Apostrophe (উেĻেশঁািÿ) 10
MMD13,"ফুটিছে কুসুমকুল মঞ্জুকুঞ্জ বনে, রে, যথা গুণমণি!",6,12 Synecdoche and Metonymy
MMD14,"হেরি মোর শ্যামচাঁদ, পীরিতের ফল ফাঁদ, পাতে লো ধরণী!",0,(Àিতিনিধä) 11
MMD15,কি লজ্জা!,"6, 3",13 Assonance (óরৈবিশƇঁ) 12
MMD16,"হা ধিক্ তারে, ছয় ঋতু বরে যারে, আমার প্রাণের ধন লোভে সে রমণী?",0,
MMD17,"চল, সখি, শীঘ্র যাই, পাছে মাধবে হারাই,— মণিহারা ফণিনী কি বাঁচে লো স্বজনি?","6, 1",
MMD18,"সাগর উদ্দেশে নদী ভ্রমে দেশে দেশে, রে, অবিরাম গতি;— গগনে উদিলে শশী, হাসি যেন পড়ে খসি, নিশি রূপবতী; আমার প্রেম-সাগর, দুয়ারে মোর নাগর, তারে ছেড়ে রব আমি?","6, 3",
MMD19,ধিক্ এ কুমতি!,0,
MMD20,আমার সুধাংশু নিধি—দিয়াছে আমায় বিধি— বিরহ আঁধারে আমি?,"6, 2",
MMD21,ধিক্ এ যুকতি।,0,
MMD22,"নাচিছে কদম্ব মূলে, বাজায়ে মুরলী, রে, রাধিকারমণ!",0,
MMD23,"চল, সখি, ত্বরা করি, দেখিগে প্রাণের হরি, গোকুল রতন!",6,
MMD24,"মধু কহে ব্রজাঙ্গনে, স্মরি ও রাঙা চরণে, যাও যথা ডাকে তোমা শ্রীমধুসূদন!","6, 9",
MMD25,"যৌবন মধুর কাল, আশু বিনাশিবে কাল, কালে পিও প্রেমমধু করিয়া যতন।","6, 9",
MMD26,প্রভাতিল বিভাবরী; জয়রাম নাদে নাদিল বিকট-ঠাট লঙ্কার চৌদিকে।,0,
MMD27,"কনক-আসন ত্যজি, বিষাদে ভূতলে বসেন যথায়, হার, রক্ষোদলপতি রাবণ; ভীষণ স্বন স্বনিল সে স্থলে সাগর-কল্লোল-সম।","2, 6, and 1",
MMD28,"বিস্ময়ে সুরথী সুধিলা সারণে লক্ষি;—“কহ ত্বরা করি, হে সচিবশ্রেষ্ঠ বুধ, কি হেতু নিনাদে বৈরিবৃন্দ, নিশাভাগে নিরানন্দ শোকে?",0,?
MMD29,"কহ শীঘ্র, প্রাণদান পাইল কি পুনঃ কপট-সমরী মূঢ় সৌমিত্রি?",0,
MMD30,কে জানে— অনুকূল দেবকুল তাই বা করিল!,6,
